out,in
google-noto-sans-cuneiform-fonts,fontpackages-filesystem
deepin-diskmanager,libgcc
evolution,libarchive
libreoffice-langpack-sv,hyphen-sv
libgweather,geocode-glib
perl-Module-Install-AuthorTests,perl-Carp
qt5-qtwebsockets-examples,qt5-qtdeclarative
perl-core,perl-libnet
webkit2gtk3,woff2
cheese-libs,cairo
rpm-ostree-libs,glibc
paps,cups-libs
foomatic,perl-Data-Dumper
evince-nautilus,pango
texlive-fncychap,texlive-graphics
perl-FCGI,perl-Carp
libpurple,libidn
usbguard-tools,libgcc
krb5-libs,keyutils-libs
accountsservice,systemd
texlive-makeindex,bash
qemu-img,libaio
mpv-libs,libdvdread
guile,info
qt5-qtwebengine,libpng
google-noto-sans-tibetan-fonts,bash
libwayland-server,glibc
libcanberra-gtk3,atk
python39,glibc
python3-libdnf,rpm-libs
swtpm,swtpm-libs
qt5-qtsvg-examples,glibc
python38,glibc
oci-systemd-hook,glibc
update-motd,anolis-release
accountsservice-libs,libxcrypt
libguestfs-appliance,glibc
nbdkit-python-plugin,glibc
google-noto-sans-tibetan-fonts,fontpackages-filesystem
bacula-libs-sql,openssl-libs
open-vm-tools-desktop,bash
mingw32-openssl,mingw32-crt
mingw64-openssl,mingw64-crt
libimobiledevice,glibc
kf5-kwallet,kf5-kwidgetsaddons
clevis,cracklib-dicts
texlive-collection-fontsrecommended,texlive-zapfchan
gcc-toolset-10-gcc-gdb-plugin,gcc-toolset-10-runtime
grub2-tools-minimal,grub2-common
perl-core,perl-ExtUtils-ParseXS
xerces-c,glibc
xmlrpc-c,glibc
culmus-yehuda-clm-fonts,culmus-fonts-common
help2man,perl-Text-ParseWords
exiv2,glibc
openssh-askpass,freetype
python3-qrcode,python3-pillow
gpm,systemd
munge,zlib
maven-lib,maven-resolver-util
pcp-pmda-lmsensors,lm_sensors
ppp,libxcrypt
cdi-api,javapackages-filesystem
gnome-settings-daemon,libwacom
gstreamer-tools,which
felix-parent,easymock
kf5-plasma,libxcb
hunspell,libgcc
fftw-libs-long,glibc
fftw-libs-quad,glibc
openscap-engine-sce,rpm-libs
rpmdevtools,emacs-filesystem
openhpi-libs,net-snmp-libs
fcitx-qw,fcitx-libs
libreport-plugin-mailx,systemd-libs
redhat-lsb-desktop,atk
httpd,httpd-filesystem
perl-IO-Zlib,perl-IO
ostree,libmount
system-lsb-languages,system-lsb-core
bpg-ingiri-fonts,bpg-fonts-common
texlive-attachfile,texlive-base
tbb,libstdc++
libpwquality,pam
mtr,ncurses-libs
policycoreutils-restorecond,dbus-glib
xdg-desktop-portal-gtk,freetype
maven-plugin-build-helper,maven-project
esc,nss
xmlsec1-openssl,libxslt
libknet1-crypto-nss-plugin,nss
python3-clang,python36
vim-X11,libXt
ipa-server-dns,ipa-server
pcp-system-tools,pcp
python3-coverage,platform-python-coverage
maven-doxia-module-latex,plexus-utils
spice-server,gstreamer1-plugins-base
stratisd,glibc
texlive-sansmath,texlive-base
gpgmepp,libgpg-error
texlive-powerdot,texlive-enumitem
metacity,libXdamage
fftw-libs-double,libgcc
fftw-libs-single,libgcc
mousetweaks,libXtst
tesseract-langpack-hrv,tesseract
mpv,uchardet
dde-qt5integration,qt5-qtx11extras
pcs-snmp,pcs
kf5-kdeclarative,kf5-kwindowsystem
brlapi,glibc-common
rsyslog-mmkubernetes,liblognorm
gcc-toolset-10-annobin,libgcc
rpm-plugin-fapolicyd,openssl-libs
hunspell-ne,hunspell
hunspell-nr,hunspell
hunspell-ny,hunspell
gutenprint-plugin,gdk-pixbuf2
gnome-control-center,libgudev
qt5-qtwebengine,nss-util
texlive-jknapltx,texlive-kpathsea
perl,perl-I18N-Langinfo
qt5-qtscript-examples,libglvnd-glx
totem,gstreamer1
perl-Module-Build,perl-Pod-Html
gcc-toolset-11-gcc-gdb-plugin,gcc-toolset-11-gcc
gstreamer1-plugins-bad-free,libwebp
glusterfs-api,libacl
samba,samba-common-tools
python3-rpm,zlib
kf5-kio-file-widgets,kf5-kwidgetsaddons
xorg-x11-server-Xorg,xorg-x11-drv-fbdev
flatpak-spawn,glibc
mysql-selinux,bash
qt5-assistant,libstdc++
boost,boost-math
dtkwidget,startup-notification
python3-requests,python3-idna
python2-requests,python2-idna
rsyslog-openssl,openssl-libs
rubygem-openssl,openssl-libs
perl-Test2-Suite,perl-threads
ffmpeg-libs,ocl-icd
texi2html,OpenIPMI-perl
cups-filters,systemd
java-1.8.0-alibaba-dragonwell-headless,freetype
gssproxy,keyutils-libs
infiniband-diags,perl-libs
cryptsetup,glibc
texlive-mptopdf,texlive-tetex
gssntlmssp,krb5-libs
ffmpeg-libs,libva
pg_repack,glibc
ipa-selinux,libselinux-utils
systemd,kmod-libs
flatpak-spawn,glib2
samba-libs,samba-common-libs
php-opcache,php-common
texlive-collection-basic,texlive-base
perl-NEXT,perl-Carp
perl-core,perl-Digest-SHA
rust,llvm-libs
libstoragemgmt,openssl-libs
kwin-libs,kf5-kconfig-core
qt5-qtbase-gui,xcb-util-wm
libblockdev-fs,libgcc
perf,libcap
kf5-kwallet,libgcrypt
fence-virtd-multicast,nspr
gnome-bluetooth-libs,libgcc
spice-glib,lz4-libs
golang-race,golang
swtpm-tools-pkcs11,tpm2-tools
fio,zlib
pcp-pmda-gpsd,perl-JSON
java-11-alibaba-dragonwell,libXrender
tesseract-langpack-swa,tesseract
tesseract-langpack-ben,tesseract
tesseract-langpack-bos,tesseract
tesseract-langpack-bre,tesseract
tesseract-langpack-snd,tesseract
tesseract-langpack-slv,tesseract
tesseract-langpack-kor,tesseract
tesseract-langpack-kat,tesseract
tesseract-langpack-ces,tesseract
tesseract-langpack-deu,tesseract
network-manager-applet,nm-connection-editor
GConf2,libxml2
texlive-xmltex,texlive-tetex
perl,perl-debugger
qgnomeplatform,libgcc
perl-libintl-perl,perl-Carp
apr-util-ldap,openldap
gedit-plugin-findinfiles,gobject-introspection
udisks2-lvm2,lvm2
perl-experimental,perl-version
php-gd,libpng
xmvn-minimal,maven-resolver-impl
clang,glibc
xorg-x11-fonts-misc,bash
texlive-pstricks,texlive-pst-node
texlive-hyphenat,texlive-kpathsea
npm,bash
bind9.16-dnssec-utils,openssl-libs
subversion-perl,perl-File-Temp
eclipse-swt,atk
dleyna-server,gupnp
evolution-bogofilter,webkit2gtk3
perl-HTTP-Date,perl-Time-Local
perl-HTTP-Tiny,perl-Time-Local
java-1.8.0-alibaba-dragonwell-javadoc,bash
perl-Unix-Syslog,rsyslog
kf5-kdelibs4support-libs,libstdc++
easymock,objenesis
libsigc++20,libstdc++
libgxps,libarchive
hwloc,ncurses-libs
environment-modules,platform-python
texlive-pstricks-add,texlive-pstricks
libgio-qt,qt5-qtbase
kf5-networkmanager-qt,glibc
ffmpeg,glibc
xinetd,glibc
libreoffice-impress,libetonyek
dde-disk-mount-plugin,qt5-qtbase-gui
file-roller,xz
java-1.8.0-alibaba-dragonwell-devel-slowdebug,java-1.8.0-alibaba-dragonwell
corosync,bash
perl,perl-File-Fetch
perl-Test-Fatal,perl-libs
perl-Test-Taint,perl-libs
gnome-tweaks,fcitx-configtool
libreswan,libxcrypt
atkmm,glibc
aqute-bnd,bash
gnutls-utils,autogen-libopts
tibetan-machine-uni-fonts,fontpackages-filesystem
perl-Pod-Perldoc,groff-base
perl-I18N-Collate,perl-libs
gcc,libgcc
libreoffice-gtk3,cairo-gobject
clutter,libXfixes
mingw32-glib2,mingw32-pcre
mingw32-glib2,mingw32-zlib
pcm,libstdc++
pcs,libstdc++
efibootmgr,glibc
git-svn,perl-File-Path
atkmm,glib2
ibus-gtk2,dbus-libs
perl-inc-latest,perl
perl-core,perl-Errno
kf5-knewstuff,kf5-karchive
kacst-fonts-common,fontpackages-filesystem
alsa-tools-firmware,glibc
conntrack-tools,systemd
perl,perl-Pod-Perldoc
gegl04,OpenEXR-libs
qt5-qtquickcontrols2,libgcc
bacula-director,libstdc++
texlive-xmltex,bash
perl-Sub-Install,perl
pcp-testsuite,pcp-pmda-podman
varnish,util-linux
redhat-lsb-languages,perl-Scalar-List-Utils
libguestfs,libvirt-libs
xmlsec1,glibc
389-ds-base-snmp,net-snmp-agent-libs
mcelog,glibc
compat-guile18,libxcrypt
pulseaudio-libs,systemd-libs
libreport-plugin-ureport,glib2
pcp-pmda-memcache,perl-PCP-PMDA
perl-Unicode-LineBreak,glibc
emacs-lucid,libXpm
bluez-obexd,bluez-libs
deepin-system-monitor,libgcc
deepin-system-monitor,libxcb
libreoffice-langpack-de,autocorr-de
freeradius,pcre
glusterfs-fuse,zlib
glusterfs-rdma,zlib
glusterfs-libs,zlib
sg3_utils-libs,glibc
freeradius,perl
deepin-system-monitor,dtkgui
elfutils-libelf,zlib
boost-graph-openmpi,libstdc++
deepin-system-monitor,libicu
perl-DBM_Filter,perl-libs
maven-dependency-analyzer,maven-project
crun,libgcc
vim-minimal,libselinux
libreport-plugin-ureport,glibc
perl,perl-IPC-Open3
disruptor,javapackages-filesystem
sanlock-lib,libaio
sevctl,glibc
xorg-x11-server-utils,glibc
evolution-mapi,evolution
evolution-help,evolution
python2-pytest-mock,python2-mock
ipa-server-trust-ad,libtevent
libreofficekit,atk
deepin-system-monitor,libnl3
hypervkvpd,bash
glusterfs-fuse,glusterfs-libs
glusterfs-rdma,glusterfs-libs
varnish,ncurses-libs
eclipse-swt,mesa-libGLU
java-1.8.0-alibaba-dragonwell-devel-fastdebug,bash
grub2-tools-efi,os-prober
deepin-boot-maker,qt5-qtx11extras
libavdevice,openal-soft
bind-libs,libxml2
qt5-qt3d,libgcc
util-linux,audit-libs
nmap,glibc
mythes-it,mythes
bind-pkcs11-utils,libmaxminddb
libblockdev-swap,util-linux
gdm,dbus-daemon
xorg-x11-drv-intel,xcb-util
httpd,lua-libs
ipa-server,fontawesome-fonts
kf5-kconfig-core,libgcc
flatpak,gdk-pixbuf2
perl-DateTime-Format-Strptime,perl-libs
kf5-kdeclarative,kf5-kjobwidgets
deepin-boot-maker,syslinux-nonlinux
mingw64-harfbuzz-static,mingw64-harfbuzz
mingw32-harfbuzz-static,mingw32-harfbuzz
perl-Module-CoreList,perl-libs
python3-samba,python3-dns
perl-AnyEvent,perl-Scalar-List-Utils
texlive-texlive-msg-translations,texlive-kpathsea
lightdm-gobject,libgcc
bsdtar,libxml2
bsdcat,libxml2
openssl-pkcs11,openssl-libs
texlive-collection-latexrecommended,texlive-memoir
texlive-collection-latexrecommended,texlive-sepnum
texlive-collection-latexrecommended,texlive-subfig
texlive-collection-latexrecommended,texlive-ctable
389-ds-base-snmp,nss-util
boost,boost-iostreams
texlive-fontspec,texlive-l3kernel
gzip,ModemManager
maven-plugin-tools-annotations,objectweb-asm
guice-bom,java-1.8.0-openjdk-headless
texlive-collection-basic,texlive-dvipdfmx
xerces-j2,javapackages-tools
WALinuxAgent,python3-pyasn1
plymouth-plugin-space-flares,systemd-libs
eclipse-pde,eclipse-platform
ant-commons-net,apache-commons-net
gnome-session,libX11
kf5-kdelibs4support,kf5-kio-core-libs
gutenprint-plugin,cairo
compat-guile18,bash
c2esp,cups-libs
gnome-session,libICE
bsdtar,libzstd
bsdcat,libzstd
pcre-cpp,glibc
onboard,python3-gobject
geronimo-parent-poms,javapackages-filesystem
texlive-bidi,texlive-ms
maven-plugin-tools-annotations,plexus-archiver
texlive-eso-pic,texlive-kpathsea
texlive-eurosym,texlive-kpathsea
gnome-session,libgcc
maven-plugin-tools-annotations,plexus-containers-component-annotations
gcc-toolset-9-gdb,python3-libs
pcp-pmda-mongodb,389-ds-base
pcp-pmda-summary,pcp
texinfo,perl-Getopt-Long
mpv-libs,libXScrnSaver
cmake-gui,qt5-qtbase
perl-Specio,perl-Storable
kf5-kglobalaccel,qt5-qtbase-gui
perl-Devel-Size,perl
python3-qt5,libgcc
pesign,platform-python
python39-Cython,glibc
poppler-qt5,libgcc
cyrus-imapd-utils,perl-constant
maven-lib,apache-commons-cli
potrace,glibc
poppler,glibc
polardb,glibc
syslinux-nonlinux,syslinux
libreoffice-wiki-publisher,libreoffice-writer
gnome-online-miners,grilo-plugins
cmake,cmake-data
python2-pytest,python2-funcsigs
libguestfs,libacl
plexus-containers-javadoc,javapackages-filesystem
gedit-plugin-colorpicker,gedit-plugins-data
harfbuzz,freetype
fence-agents-all,fence-agents-ipmilan
perl-Module-Install,perl-Carp
texlive-xecyr,texlive-base
texlive-xetex,texlive-base
texlive-xecjk,texlive-ulem
texlive-xecjk,texlive-base
python3-unittest2,platform-python-setuptools
postgresql-pltcl,tcl
isorelax,javapackages-filesystem
evolution-spamassassin,cairo
evolution-spamassassin,pango
gnome-control-center,cairo
network-manager-applet,gtk3
device-mapper-multipath-libs,systemd-libs
texlive-collection-latexrecommended,texlive-index
lorax,cpio
inkscape-view,gtk2
evolution-spamassassin,glibc
ibus-libzhuyin,glib2
libreport-newt,libreport
util-linux,libcap-ng
libreport-rhel,libreport
device-mapper-multipath,libgcc
texlive-oberdiek,texlive-latex
amanda,perl-Scalar-List-Utils
dracut-caps,libcap
systemtap-runtime-virtguest,coreutils
m17n-lib,xz-libs
foomatic,foomatic-db
perl-Module-Pluggable,perl-Carp
evolution-spamassassin,glib2
python3-pyudev,systemd-libs
virt-viewer,chkconfig
docker,docker-client
docker,docker-engine
dnssec-trigger,e2fsprogs
texlive-graphics-def,texlive-kpathsea
libx86emu,glibc
felix-utils,javapackages-filesystem
perl-File-chdir,perl-libs
perl-File-pushd,perl-libs
perl-File-Fetch,perl-libs
cyrus-sasl-plain,glibc
ibus-libzhuyin,glibc
perl-File-Slurp,perl-libs
tigervnc-server-module,pixman
evolution-ews,nss
atinject-tck,atinject
perl-File-Which,perl-libs
evolution-pst,nss
dde-calendar,dtkcore
redhat-rpm-config,glibc-gconv-extra
compat-exiv2-026,zlib
python3-slip,python3-libselinux
ipa-server,libsss_nss_idmap
lorax,gawk
pcp-pmda-mailq,pcp
pcp-pmda-samba,pcp
pcp-pmda-mssql,pcp
pcp-pmda-smart,pcp
pcp-pmda-cisco,pcp
pcp-pmda-mysql,pcp
pcp-pmda-slurm,pcp
open-vm-tools-desktop,libsigc++20
perl-Unicode-EastAsianWidth,perl-interpreter
gitweb,git
perl-Object-HashBase,perl-Carp
json-glib,glib2
librados2,boost-system
junit,javapackages-filesystem
python3-rpm,rpm-build-libs
gnome-initial-setup,polkit
python3-gpg,glibc
redis,openssl-libs
sil-scheherazade-fonts,fontpackages-filesystem
texlive-upquote,texlive-base
evince-browser-plugin,pango
perl-Net-DNS,perl-IO
json-glib,glibc
python3-audit,audit-libs
libreport,augeas-libs
lightdm,polkit
system-lsb-languages,perl-Scalar-List-Utils
culmus-hadasim-clm-fonts,culmus-fonts-common
perl-Pod-Parser,perl-Getopt-Long
python3-qt5-base,qt5-qtbase
lightdm,libgcc
lightdm,psmisc
lightdm,libxcb
ntsysv,libsepol
java-11-alibaba-dragonwell-devel-slowdebug,chkconfig
maven,maven-lib
perl-Module-ScanDeps,perl-Getopt-Long
boost-timer,libstdc++
libreoffice-writer,zlib
gtk-vnc2,glibc
dotnet-hostfxr-6.0,glibc
gnome-online-miners,gnome-online-accounts
usbutils,platform-python
google-noto-sans-tibetan-fonts,google-noto-fonts-common
openbox,libX11
openbox,imlib2
pcp-testsuite,pcp-pmda-denki
ipa-client,popt
anolis-release,anolis-gpg-keys
dtkgui,libgcc
gcc-toolset-9-perftools,gcc-toolset-9-valgrind
openbox,libICE
alsa-plugins-samplerate,alsa-lib
postgresql-upgrade,openssl-libs
gtk-vnc2,glib2
python3-boto3,python3-jmespath
libtool,automake
qt5-qt3d-examples,qt5-qtdeclarative
openmpi,libgcc
openhpi,libgcc
texlive-tex-ini-files,texlive-kpathsea
libpmemlog,ndctl-libs
httpd,expat
openbox,libXft
kf5-kcmutils,kf5-kitemviews
audispd-plugins,libcap-ng
grub2-pc,grub2-pc-modules
kf5-kglobalaccel-libs,kf5-kcoreaddons
pentaho-reporting-flow-engine,libserializer
webkit2gtk3,libgcrypt
texlive-needspace,texlive-kpathsea
tesseract-tools,pango
gfs2-utils,ncurses-libs
opencv-core,libwebp
texlive-collection-latexrecommended,texlive-koma-script
maven-remote-resources-plugin,maven-lib
vte291,gnutls
gnome-shell-extension-apps-menu,gnome-shell-extension-common
texlive-thumbpdf,perl
cheese,libcanberra-gtk3
bind9.16-utils,libmaxminddb
pcp,bash
java-1.8.0-alibaba-dragonwell-slowdebug,libXtst
cryptsetup,libblkid
perl-XML-DOM,perl-interpreter
sssd-ipa,libcom_err
maven-plugin-plugin,maven-doxia-sink-api
libreoffice-help-et,libreoffice-core
libreoffice-help-uk,libreoffice-core
libreoffice-help-es,libreoffice-core
libreoffice-help-sl,libreoffice-core
libreoffice-help-el,libreoffice-core
libreoffice-help-ca,libreoffice-core
libreoffice-help-cs,libreoffice-core
libreoffice-help-it,libreoffice-core
libreoffice-help-ko,libreoffice-core
libreoffice-help-ar,libreoffice-core
libteam,libnl3-cli
vapoursynth-plugins,glibc
guava20-javadoc,javapackages-filesystem
libblockdev-crypto,volume_key-libs
rrdtool,systemd
gnome-system-monitor,libgtop2
gcc-toolset-9-gcc,gcc-toolset-9-runtime
bluez-cups,bluez
dde-control-center,dde-qt5xcb-plugin
rpm-build-libs,zlib
httpd,libxcrypt
system-lsb-desktop,libXext
pcp-testsuite,perl-IO
qt5-qtlocation,openssl-libs
maven-verifier-javadoc,javapackages-filesystem
evolution-spamassassin,libarchive
java-11-openjdk-fastdebug,giflib
java-17-openjdk-fastdebug,giflib
perl-Pod-Parser,perl-Pod-Usage
readonly-root,iproute
perl-File-DesktopEntry,perl-libs
pipewire,dbus-libs
qt5-linguist,qt5-qtbase
system-lsb-desktop,gtk2
inkscape-view,librevenge
Xaw3d,libXmu
rpm-ostree,json-c
hardlink,pcre2
harfbuzz,glib2
perl-DateTime-Locale,perl-libs
boost-openmpi-python3,openmpi
maven-script-interpreter-javadoc,javapackages-filesystem
subversion-libs,utf8proc
subversion-perl,utf8proc
perl-App-cpanminus,perl-Module-CoreList
pulseaudio-utils,systemd-libs
fence-virtd-libvirt,nss
emacs-lucid,libpng
powertop,libgcc
python3-kickstart,python3-ordered-set
bind-pkcs11,libcap
lasso,libtool-ltdl
evolution-bogofilter,p11-kit
perl-File-Compare,perl-libs
pcm,glibc
pcs,glibc
opa-fastfabric,bash
texlive-collection-latexrecommended,texlive-cite
keyutils-libs,glibc
graphviz-python3,graphviz
perl-core,perl-parent
abrt-gui-libs,gdk-pixbuf2
hardlink,glibc
harfbuzz,glibc
crypto-policies-scripts,platform-python
bpg-serif-fonts,bpg-fonts-common
sane-frontends,sane-backends-libs
python2-libs,gdbm-libs
libsamplerate,libsndfile
mecab,glibc
python3-libs,gdbm-libs
maven-dependency-plugin,maven-dependency-tree
luajit,glibc
python3-ipalib,platform-python-setuptools
cheese,gnome-video-effects
sssd-tools,libbasicobjects
avahi-compat-howl,dbus-libs
perl-Mail-Sender,perl-Time-Local
librbd1,nspr
texlive-helvetic,texlive-base
hunspell-cs,hunspell
maven-assembly-plugin-javadoc,javapackages-filesystem
hunspell-cv,hunspell
hunspell-ca,hunspell
hunspell-cy,hunspell
perl-mro,perl-libs
libcanberra-gtk2,libcanberra-gtk3
libserf,apr
mesa-vdpau-drivers,libgcc
tk,bash
texlive-context,perl
esc,opensc
powermock-api-mockito,mockito
texlive-context,bash
slf4j-sources,log4j12
system-lsb-printing,system-lsb-core
gnome-color-manager,vte291
startdde,gtk3
texlive-arabxetex,texlive-amsmath
cheese,gstreamer1-plugins-base
java-11-alibaba-dragonwell-headless-fastdebug,javapackages-filesystem
freeradius,gdbm-libs
bc,bash
xmlto,libxslt
cyrus-imapd,openldap
texlive-norasi-c90,texlive-base
librdkafka,openssl-libs
mpv-libs,rubberband
perl-YAML-LibYAML,perl-Scalar-List-Utils
dotnet-sdk-3.1,dotnet-templates-3.1
gimp,gimp-libs
python38-numpy-f2py,python38-numpy
amanda-server,perl-parent
pkgconf-pkg-config,pkgconf
texlive-pdftex,texlive-base
dde-session-shell,sed
libreoffice-langpack-pt-BR,autocorr-pt
libblockdev-lvm-dbus,libblockdev-utils
llvm-libs,libffi
glade-libs,pango
kf5-kplotting,qt5-qtbase-gui
texlive-collection-basic,texlive-mflogo
samba,samba-common
kexec-tools,elfutils-libs
libreoffice-langpack-lt,hyphen-lt
mcstrans,glibc
lucene-queryparser,javapackages-filesystem
pinentry-gnome3,gtk3
abrt-addon-vmcore,platform-python
google-noto-naskh-arabic-ui-fonts,bash
dde-session-ui,qt5-qtsvg
pacemaker,glibc
texlive-collection-htmlxml,texlive-xmltex
python38-libs,libtirpc
devhelp,webkit2gtk3
libpsl,libunistring
texlive-geometry,texlive-graphics
emacs-nox,ncurses-libs
redhat-lsb-desktop,libXrender
google-noto-sans-meetei-mayek-fonts,google-noto-fonts-common
pacemaker,glib2
emacs,libXfixes
libbytesize,gmp
perl-Types-Serialiser,perl-interpreter
ncurses-compat-libs,glibc
xorg-x11-font-utils,bash
xorg-x11-fonts-ethiopic,ttmkfdir
deepin-diskmanager,libstdc++
gnupg2,glibc
texlive-collection-basic,texlive-ifxetex
gnutls,glibc
libblkid,coreutils
mutter,systemd-libs
git-email,perl-Text-ParseWords
rpm-plugin-ima,elfutils-libelf
vino,libgpg-error
cyrus-imapd-utils,krb5-libs
kf5-kdelibs4support-libs,kf5-kio-widgets-libs
tesseract-script-telugu,tesseract
tesseract-script-hebrew,tesseract
tesseract-script-hangul,tesseract
tesseract-script-thaana,tesseract
mtr-gtk,cairo
sssd-kcm,libbasicobjects
plexus-sec-dispatcher,plexus-utils
krb5-server,words
netcf,systemd
elfutils,elfutils-libelf
tracker-miners,glib2
qt5-qtimageformats,qt5-qtbase-gui
libgomp-offload-nvptx,glibc
iscsi-initiator-utils-iscsiuio,bash
gnuplot,libstdc++
libraw1394,glibc
pcp-pmda-lustrecomm,pcp
libavc1394,glibc
libblockdev-plugins-all,libblockdev-dm
sssd-common-pac,libtalloc
texlive-mparhack,texlive-kpathsea
sendmail-cf,m4
texlive-anysize,texlive-base
buildah,slirp4netns
texlive-mfware,glibc
tracker-miners,glibc
tracker-miners,cairo
libguestfs-tools,perl-libintl-perl
perl-Term-ANSIColor,perl-libs
389-ds-base-legacy-tools,krb5-libs
libcgroup-pam,libcgroup
maven-remote-resources-plugin,plexus-resources
virt-dib,libguestfs
perl-URI,perl-libnet
perl-Net-Server,perl-Time-HiRes
grub2-tools-extra,os-prober
intel-gpu-tools,cairo
xmlrpc-c,openssl-libs
eclipse-jdt,eclipse-platform
systemd-journal-remote,libmicrohttpd
python3-podman,python3-pyxdg
perl-Switch,perl-libs
perl-diagnostics,perl
perl-Text-Balanced,perl-SelfLoader
dejagnu,expect
coreos-installer,gnupg2
apr-util-ldap,glibc
pcp-pmda-gpfs,pcp-libs
pcp-pmda-cifs,pcp-libs
pcp-pmda-snmp,pcp-libs
pcp-pmda-gpsd,pcp-libs
pcp-pmda-gfs2,pcp-libs
libchamplain,gtk3
sat4j,javapackages-filesystem
OpenIPMI-perl,perl-interpreter
autoconf,perl-Data-Dumper
fetchmail,krb5-libs
perl-Object-HashBase,perl-libs
ftp,ncurses-libs
libreport-plugin-kerneloops,libxml2
libguestfs-tools-c,libtirpc
openscap,pcre
kf5-plasma,kf5-kio-widgets-libs
swtpm-libs,glibc
samba-libs,glibc
samba-common-tools,glibc
gtkspell,cairo
gtkspell,pango
ethtool,glibc
perl-Pod-LaTeX,perl-Carp
dracut-squash,squashfs-tools
kf5-ki18n,qt5-qtbase
cdrdao,libgcc
freerdp-libs,libjpeg-turbo
gtkspell,glibc
texlive-beamer,texlive-xcolor
