idx,name
889,kf5-kwidgetsaddons
890,kf5-kwindowsystem
891,kf5-kxmlgui
892,kf5-networkmanager-qt
893,kf5-plasma
894,kf5-solid
895,kf5-sonnet
896,kf5-syntax-highlighting
897,kmod
898,kmod-kvdo
899,kpatch
900,krb5
901,kronosnet
902,ksc
903,kscreenlocker
904,kwin
905,kyotocabinet
906,lame
907,langtable
908,lapack
909,lasso
910,latex2html
911,lcms2
912,ldns
913,ledmon
914,leptonica
915,less
916,lftp
917,libEMF
918,libICE
919,libSM
920,libX11
921,libXNVCtrl
922,libXScrnSaver
923,libXau
924,libXaw
925,libXcomposite
926,libXcursor
927,libXdamage
928,libXdmcp
929,libXext
930,libXfixes
931,libXfont2
932,libXft
933,libXi
934,libXinerama
935,libXmu
936,libXp
937,libXpm
938,libXrandr
939,libXrender
940,libXres
941,libXt
942,libXtst
943,libXv
944,libXvMC
945,libXxf86dga
946,libXxf86misc
947,libXxf86vm
948,libabw
949,libaio
950,libao
951,libappindicator
952,libappstream-glib
953,libarchive
954,libass
955,libassuan
956,libasyncns
957,libatasmart
958,libatomic_ops
959,libavc1394
960,libbase
961,libblockdev
962,libbpf
963,libburn
964,libbytesize
965,libcacard
966,libcanberra
967,libcap
968,libcap-ng
969,libcdio
970,libcdio-paranoia
971,libcdr
972,libcgroup
973,libchardet
974,libcmis
975,libcomps
976,libconfig
977,libcroco
978,libdaemon
979,libdatrie
980,libdazzle
981,libdb
982,libdbusmenu
983,libdc1394
984,libdmapsharing
985,libdmx
986,libdnf
987,libdrm
988,libdv
989,libdvdnav
990,libdvdread
991,libdwarf
992,libeasyfc
993,libecpg
994,libedit
995,libepoxy
996,libepubgen
997,liberation-fonts
998,liberation-narrow-fonts
999,libestr
1000,libetonyek
1001,libev
1002,libevdev
1003,libevent
1004,libexif
1005,libexttextcat
1006,libfabric
1007,libfastjson
1008,libffado
1009,libffi
1010,libfontenc
1011,libfonts
1012,libformula
1013,libfprint
1014,libfreehand
1015,libgcrypt
1016,libgdata
1017,libgdither
1018,libgee
1019,libgexiv2
1020,libgit2
1021,libgit2-glib
1022,libglvnd
1023,libgnomekbd
1024,libgovirt
1025,libgpg-error
1026,libgphoto2
1027,libgpod
1028,libgsf
1029,libgtop2
1030,libgudev
1031,libguestfs
1032,libgusb
1033,libgweather
1034,libgxim
1035,libgxps
1036,libhangul
1037,libhbaapi
1038,libhbalinux
1039,libhugetlbfs
1040,libical
1041,libid3tag
1042,libidn
1043,libidn2
1044,libiec61883
1045,libieee1284
1046,libijs
1047,libimobiledevice
1048,libindicator
1049,libinput
1050,libipt
1051,libiptcdata
1052,libisoburn
1053,libisofs
1054,libjpeg-turbo
1055,libkcapi
1056,libkeepalive
1057,libkkc
1058,libkkc-data
1059,libksba
1060,liblangtag
1061,liblayout
1062,libldb
1063,libloader
1064,liblockfile
1065,liblognorm
1066,liblouis
1067,libmad
1068,libmatchbox
1069,libmaxminddb
1070,libmbim
1071,libmediaart
1072,libmediainfo
1073,libmemcached
1074,libmetalink
1075,libmfx
1076,libmicrohttpd
1077,libmng
1078,libmnl
1079,libmodman
1080,libmodplug
1081,libmodulemd
1082,libmpc
1083,libmspack
1084,libmspub
1085,libmtp
1086,libmusicbrainz5
1087,libmwaw
1088,libndp
1089,libnet
1090,libnetfilter_conntrack
1091,libnetfilter_cthelper
1092,libnetfilter_cttimeout
1093,libnetfilter_queue
1094,libnfnetlink
1095,libnftnl
1096,libnice
1097,libnl3
1098,libnma
1099,libnotify
1100,libnsl2
1101,libnumbertext
1102,liboauth
1103,libodfgen
1104,libogg
1105,libopenraw
1106,liborcus
1107,libosinfo
1108,libotf
1109,libpagemaker
1110,libpaper
1111,libpcap
1112,libpciaccess
1113,libpeas
1114,libpfm
1115,libpinyin
1116,libpipeline
1117,libplist
1118,libpng
1119,libpng12
1120,libpq
1121,libproxy
1122,libpsl
1123,libpsm2
1124,libpst
1125,libpwquality
1126,libqb
1127,libqmi
1128,libqrtr-glib
1129,libqtxdg
1130,libquvi
1131,libquvi-scripts
1132,libqxp
1133,librabbitmq
1134,libraw1394
1135,librdkafka
1136,librelp
1137,libreoffice
1138,libreoffice-voikko
1139,librepo
1140,libreport
1141,librepository
1142,libreswan
1143,librevenge
1144,librhsm
1145,librsvg2
1146,libsamplerate
1147,libseccomp
1148,libsecret
1149,libselinux
1150,libsemanage
1151,libsepol
1152,libserializer
1153,libshout
1154,libsigc++20
1155,libsigsegv
1156,libsmbios
1157,libsmi
1158,libsndfile
1159,libsolv
1160,libsoup
1161,libspectre
1162,libspiro
1163,libsrtp
1164,libssh
1165,libstaroffice
1166,libstemmer
1167,libstoragemgmt
1168,libsvm
1169,libtalloc
1170,libtar
1171,libtasn1
1172,libtdb
1173,libteam
1174,libtevent
1175,libthai
1176,libtheora
1177,libtiff
1178,libtimezonemap
1179,libtirpc
1180,libtool
1181,libucil
1182,libunicap
1183,libuninameslist
1184,libunistring
1185,liburing
1186,libusb
1187,libusbmuxd
1188,libusbx
1189,libuser
1190,libutempter
1191,libuv
1192,libva
1193,libvarlink
1194,libvdpau
1195,libverto
1196,libvirt
1197,libvirt-dbus
1198,libvirt-glib
1199,libvirt-python
1200,libvisio
1201,libvisual
1202,libvncserver
1203,libvoikko
1204,libvorbis
1205,libvpx
1206,libwacom
1207,libwebp
1208,libwmf
1209,libwnck3
1210,libwpd
1211,libwpg
