idx,name,y_true,y_predict,跨层依赖数,被跨层依赖数,分类错误,反向依赖数,被反向依赖数
514,golang-github-mozillazg-pinyin,应用,应用,0,0,0,0,0
515,golang-github-msteinert-pam,应用,应用,0,0,0,0,0
516,golang-github-nfnt-resize,应用,应用,0,0,0,0,0
517,golang-github-rickb777-date,应用,应用,0,0,0,0,0
518,golang-github-stretchr-testify,应用,应用,0,0,0,0,0
519,golang-gopkg-alecthomas-kingpin,应用,应用,0,0,0,0,0
520,golang-x-image,应用,应用,0,0,0,0,0
521,golang-x-text,应用,应用,0,0,0,0,0
522,golang-x-xerrors,应用,应用,0,0,0,0,0
523,gom,应用,系统,1,0,-1,0,0
524,google-api-python-client,应用,应用,0,0,0,0,0
525,google-crosextra-caladea-fonts,其它,其它,0,0,0,0,0
526,google-crosextra-carlito-fonts,其它,其它,0,0,0,0,0
527,google-droid-fonts,其它,其它,0,0,0,0,0
528,google-noto-fonts,其它,其它,0,0,0,0,0
529,google-roboto-slab-fonts,其它,其它,0,0,0,0,0
530,gpac,应用,应用,0,0,0,0,0
531,gperf,系统,应用,0,0,1,0,0
532,gpgme,系统,系统,0,0,0,1,0
533,gpm,应用,核心,0,0,-1,0,1
534,grafana,应用,应用,0,0,0,0,0
535,grafana-pcp,应用,系统,0,0,-1,0,0
